sample_idx,mode,Nq,level,bpf,metric,value
2,CBR,1,,20,PESQ,1.4019845724105835
2,CBR,1,,20,STOI,0.7421225905418396
2,CBR,1,,20,ESTOI,0.5225234627723694
2,CBR,1,,20,ViSQOL-speech,3.54375572392657
2,CBR,1,,20,NISQA_overall_MOS,3.990194320678711
2,CBR,2,,30,SI-SDR,2.5072171688079834
2,CBR,2,,30,PESQ,1.4927687644958496
2,CBR,2,,30,STOI,0.7601813673973083
2,CBR,2,,30,ESTOI,0.5539858937263489
2,CBR,2,,30,ViSQOL-speech,3.6585692635210365
2,CBR,2,,30,NISQA_overall_MOS,4.027949333190918
2,CBR,3,,40,SI-SDR,3.1734609603881836
2,CBR,3,,40,PESQ,1.4984055757522583
2,CBR,3,,40,STOI,0.7661657929420471
2,CBR,3,,40,ESTOI,0.5626593828201294
2,CBR,3,,40,ViSQOL-speech,3.689521528606379
2,CBR,3,,40,NISQA_overall_MOS,4.170920372009277
2,CBR,4,,50,SI-SDR,3.612208843231201
2,CBR,4,,50,PESQ,1.5102883577346802
2,CBR,4,,50,STOI,0.763877809047699
2,CBR,4,,50,ESTOI,0.5596160888671875
2,CBR,4,,50,ViSQOL-speech,3.695588823246906
2,CBR,4,,50,NISQA_overall_MOS,4.086605072021484
2,CBR,5,,60,SI-SDR,3.8992061614990234
2,CBR,5,,60,PESQ,1.4950374364852905
2,CBR,5,,60,STOI,0.7694181799888611
2,CBR,5,,60,ESTOI,0.565403401851654
2,CBR,5,,60,ViSQOL-speech,3.7127684955874893
2,CBR,5,,60,NISQA_overall_MOS,4.009396553039551
2,CBR,6,,70,SI-SDR,4.138589859008789
2,CBR,6,,70,PESQ,1.5131067037582397
2,CBR,6,,70,STOI,0.7689740657806396
2,CBR,6,,70,ESTOI,0.568718671798706
2,CBR,6,,70,ViSQOL-speech,3.719920830717996
2,CBR,6,,70,NISQA_overall_MOS,4.098499774932861
2,CBR,7,,80,SI-SDR,4.320539951324463
2,CBR,7,,80,PESQ,1.5080993175506592
2,CBR,7,,80,STOI,0.7686981558799744
2,CBR,7,,80,ESTOI,0.5707105994224548
2,CBR,7,,80,ViSQOL-speech,3.7146602559946396
2,CBR,7,,80,NISQA_overall_MOS,4.193268775939941
3,CBR,0,,10,SI-SDR,-1.0015249252319336
3,CBR,0,,10,PESQ,1.5093424320220947
3,CBR,0,,10,STOI,0.8393728137016296
3,CBR,0,,10,ESTOI,0.6701752543449402
3,CBR,0,,10,ViSQOL-speech,3.4858805465868454
3,CBR,0,,10,NISQA_overall_MOS,3.841435432434082
3,CBR,1,,20,SI-SDR,2.7841367721557617
3,CBR,1,,20,PESQ,1.6631616353988647
3,CBR,1,,20,STOI,0.8849092721939087
3,CBR,1,,20,ESTOI,0.7346320152282715
3,CBR,1,,20,ViSQOL-speech,3.89382209785434
3,CBR,1,,20,NISQA_overall_MOS,4.274402618408203
3,CBR,2,,30,SI-SDR,5.015042304992676
3,CBR,2,,30,PESQ,1.8124310970306396
3,CBR,2,,30,STOI,0.9017733931541443
3,CBR,2,,30,ESTOI,0.764104962348938
3,CBR,2,,30,ViSQOL-speech,4.01037376349794
3,CBR,2,,30,NISQA_overall_MOS,4.195350646972656
3,CBR,3,,40,SI-SDR,6.169585227966309
3,CBR,3,,40,PESQ,1.8766018152236938
3,CBR,3,,40,STOI,0.9116560816764832
3,CBR,3,,40,ESTOI,0.7842613458633423
3,CBR,3,,40,ViSQOL-speech,4.070253968742881
3,CBR,3,,40,NISQA_overall_MOS,4.3179521560668945
3,CBR,4,,50,SI-SDR,6.831164836883545
3,CBR,4,,50,PESQ,1.962841510772705
3,CBR,4,,50,STOI,0.9176244139671326
3,CBR,4,,50,ESTOI,0.7942618727684021
3,CBR,4,,50,ViSQOL-speech,4.107043630159036
3,CBR,4,,50,NISQA_overall_MOS,4.3109917640686035
3,CBR,5,,60,SI-SDR,7.576660633087158
3,CBR,5,,60,PESQ,1.9938043355941772
3,CBR,5,,60,STOI,0.9220287203788757
3,CBR,5,,60,ESTOI,0.8016293048858643
3,CBR,5,,60,ViSQOL-speech,4.131786709175024
3,CBR,5,,60,NISQA_overall_MOS,4.401024341583252
3,CBR,6,,70,SI-SDR,8.058963775634766
3,CBR,6,,70,PESQ,2.0487875938415527
3,CBR,6,,70,STOI,0.9258151650428772
3,CBR,6,,70,ESTOI,0.8093332648277283
3,CBR,6,,70,ViSQOL-speech,4.161534750014668
3,CBR,6,,70,NISQA_overall_MOS,4.395313739776611
3,CBR,7,,80,SI-SDR,8.438922882080078
3,CBR,7,,80,PESQ,2.057901620864868
3,CBR,7,,80,STOI,0.9286580085754395
3,CBR,7,,80,ESTOI,0.8134857416152954
3,CBR,7,,80,ViSQOL-speech,4.170689978151318
3,CBR,7,,80,NISQA_overall_MOS,4.384431838989258
4,CBR,0,,10,SI-SDR,1.3930590152740479
4,CBR,0,,10,PESQ,1.0938063859939575
4,CBR,0,,10,STOI,0.4403291940689087
4,CBR,0,,10,ESTOI,0.2566394805908203
4,CBR,0,,10,ViSQOL-speech,2.0516392102312087
4,CBR,0,,10,NISQA_overall_MOS,1.2099058628082275
4,CBR,1,,20,SI-SDR,2.425403356552124
4,CBR,1,,20,PESQ,1.1155976057052612
4,CBR,1,,20,STOI,0.49208128452301025
4,CBR,1,,20,ESTOI,0.2878468632698059
4,CBR,1,,20,ViSQOL-speech,2.253789472483927
4,CBR,1,,20,NISQA_overall_MOS,1.2032480239868164
4,CBR,2,,30,SI-SDR,3.16325306892395
4,CBR,2,,30,PESQ,1.1277520656585693
4,CBR,2,,30,STOI,0.5002089738845825
4,CBR,2,,30,ESTOI,0.29574480652809143
4,CBR,2,,30,ViSQOL-speech,2.391728578774684
4,CBR,2,,30,NISQA_overall_MOS,1.3550548553466797
4,CBR,3,,40,SI-SDR,3.7920572757720947
4,CBR,3,,40,PESQ,1.1172345876693726
4,CBR,3,,40,STOI,0.5017842650413513
4,CBR,3,,40,ESTOI,0.3058162331581116
4,CBR,3,,40,ViSQOL-speech,2.417705125224829
4,CBR,3,,40,NISQA_overall_MOS,1.4434232711791992
4,CBR,4,,50,SI-SDR,4.218143939971924
4,CBR,4,,50,PESQ,1.1242578029632568
4,CBR,4,,50,STOI,0.5077400207519531
4,CBR,4,,50,ESTOI,0.3158484995365143
4,CBR,4,,50,ViSQOL-speech,2.453307443749166
4,CBR,4,,50,NISQA_overall_MOS,1.4865825176239014
4,CBR,5,,60,SI-SDR,4.621898174285889
4,CBR,5,,60,PESQ,1.1268908977508545
4,CBR,5,,60,STOI,0.5062956809997559
4,CBR,5,,60,ESTOI,0.31742504239082336
4,CBR,5,,60,ViSQOL-speech,2.448797352392039
4,CBR,5,,60,NISQA_overall_MOS,1.471298098564148
4,CBR,6,,70,SI-SDR,4.896090984344482
4,CBR,6,,70,PESQ,1.13730788230896
4,CBR,6,,70,STOI,0.5149174928665161
4,CBR,6,,70,ESTOI,0.325979083776474
4,CBR,6,,70,ViSQOL-speech,2.4826930278962203
4,CBR,6,,70,NISQA_overall_MOS,1.4192627668380737
4,CBR,7,,80,SI-SDR,5.184683799743652
4,CBR,7,,80,PESQ,1.141647458076477
4,CBR,7,,80,STOI,0.5244214534759521
4,CBR,7,,80,ESTOI,0.3298380374908447
4,CBR,7,,80,ViSQOL-speech,2.5082137133531415
4,CBR,7,,80,NISQA_overall_MOS,1.4320793151855469
5,CBR,0,,10,SI-SDR,-2.125389337539673
5,CBR,0,,10,PESQ,1.251028060913086
5,CBR,0,,10,STOI,0.725955069065094
5,CBR,0,,10,ESTOI,0.49851173162460327
5,CBR,0,,10,ViSQOL-speech,2.922930612850887
5,CBR,0,,10,NISQA_overall_MOS,3.8916919231414795
5,CBR,1,,20,SI-SDR,0.8195186853408813
5,CBR,1,,20,PESQ,1.382693886756897
5,CBR,1,,20,STOI,0.7671697735786438
5,CBR,1,,20,ESTOI,0.5577565431594849
5,CBR,1,,20,ViSQOL-speech,3.2364523894034143
5,CBR,1,,20,NISQA_overall_MOS,4.114305019378662
5,CBR,2,,30,SI-SDR,2.5363590717315674
5,CBR,2,,30,PESQ,1.4430862665176392
5,CBR,2,,30,STOI,0.7760230898857117
5,CBR,2,,30,ESTOI,0.5732489228248596
5,CBR,2,,30,ViSQOL-speech,3.2752757207099004
5,CBR,2,,30,NISQA_overall_MOS,4.319933891296387
5,CBR,3,,40,SI-SDR,3.413478136062622
5,CBR,3,,40,PESQ,1.4462530612945557
5,CBR,3,,40,STOI,0.7789467573165894
5,CBR,3,,40,ESTOI,0.5810584425926208
5,CBR,3,,40,ViSQOL-speech,3.372836191313674
5,CBR,3,,40,NISQA_overall_MOS,4.294222831726074
5,CBR,4,,50,SI-SDR,3.982926607131958
5,CBR,4,,50,PESQ,1.4595969915390015
5,CBR,4,,50,STOI,0.7818505764007568
5,CBR,4,,50,ESTOI,0.5875973701477051
5,CBR,4,,50,ViSQOL-speech,3.37320277816803
5,CBR,4,,50,NISQA_overall_MOS,4.37952995300293
5,CBR,5,,60,SI-SDR,4.415639877319336
5,CBR,5,,60,PESQ,1.4712309837341309
5,CBR,5,,60,STOI,0.7856562733650208
5,CBR,5,,60,ESTOI,0.593453049659729
5,CBR,5,,60,ViSQOL-speech,3.3917009476099773
5,CBR,5,,60,NISQA_overall_MOS,4.365692138671875
5,CBR,6,,70,SI-SDR,4.812256813049316
5,CBR,6,,70,PESQ,1.499246597290039
5,CBR,6,,70,STOI,0.7892810702323914
5,CBR,6,,70,ESTOI,0.596645176410675
5,CBR,6,,70,ViSQOL-speech,3.4177090652515334
5,CBR,6,,70,NISQA_overall_MOS,4.449204444885254
5,CBR,7,,80,SI-SDR,5.069169521331787
5,CBR,7,,80,PESQ,1.4904160499572754
5,CBR,7,,80,STOI,0.7903791666030884
5,CBR,7,,80,ESTOI,0.5993152856826782
5,CBR,7,,80,ViSQOL-speech,3.40040110059808
5,CBR,7,,80,NISQA_overall_MOS,4.4223222732543945
6,CBR,0,,10,SI-SDR,-1.5344022512435913
6,CBR,0,,10,PESQ,1.0477522611618042
6,CBR,0,,10,STOI,0.5491266250610352
6,CBR,0,,10,ESTOI,0.33488842844963074
6,CBR,0,,10,ViSQOL-speech,2.1619340312583155
6,CBR,0,,10,NISQA_overall_MOS,1.473030686378479
6,CBR,1,,20,SI-SDR,-0.1371307075023651
6,CBR,1,,20,PESQ,1.085990071296692
6,CBR,1,,20,STOI,0.6227611899375916
6,CBR,1,,20,ESTOI,0.4268288016319275
6,CBR,1,,20,ViSQOL-speech,2.595548345544998
